issueNumber,prNumber,Util,Network,i18n,Test,IO,corpus
87.0,146,1.0,0.0,0.0,0.0,1.0,manually merging from mairbek
18.0,156,1.0,0.0,0.0,0.0,1.0,for issue this would allow to implement other blocking methods like single lastordefault next
164.0,165,1.0,0.0,0.0,0.0,1.0,issue
74.0,248,1.0,0.0,0.0,0.0,1.0,now that operationinterval is in operationsample see was kind of straightforward i also added a unit test against sampling and allowed for specifying a scheduler used by the sample operation
93.0,249,1.0,0.0,0.0,0.0,1.0,straightforward implementation of issue based on operationmap without the scheduler version as map doesnt take a scheduler yet either
17.0,250,1.0,0.0,0.0,0.0,1.0,ive done some work on asyncsubject including unit tests and im looking for feedback i dont expect to get this pull request immediately accepted but i hope to find out if this is the correct workflow for this repository and if the code is up to your standards before i start pouring in more hours into issue if you guys are ok with the asyncsubject implementation ill start working on the otherslooking forward to some feedback
20.0,257,1.0,0.0,0.0,0.0,1.0,scan is currently restricted to accumulators of type func where func would be possible for initial values of type r this pull request tries to fix this by generalizing the scan implementation i had to restructure the scan operator a bit for this to stay typesafe imho its more readable now thoughthis indirectly leads to generalized reduce tooalso aggregate is added as an alias for reduce see
38.0,375,1.0,0.0,0.0,0.0,1.0,this pr implements distinct as speficied by again i havent implemented the net methods taking an iequalitycomparator see
372.0,381,1.0,0.0,0.0,0.0,1.0,as requested by samuelgruetter in
41.0,390,1.0,0.0,0.0,0.0,1.0,hithis implements the elementat and elementatordefault operators from for elementat if the index is less than or greater than or equal to the number of elements in the source sequence an indexoutofboundsexception will be threwfor elementatordefault if the index is less than an indexoutofboundsexception will be threw whats more i added a defaultvalue parameter i can not get the element type in the source observable due to type erasure so i can not determine the default value automatically thats why elementatordefault needs a defaultvalue parameter
84.0,409,1.0,0.0,0.0,0.0,1.0,hii implemented to support that sending a lock to the synchronize operatori also found that there was a issue that testmultithreadedwithnpe and testmultithreadedwithnpeinmiddle might fail in some special situation when onerror is invoked before any onnext the last statement assertequals busyobservermaxconcurrentthreadsget in these methods will fail i also this issue in the pull request
42.0,415,1.0,0.0,0.0,0.0,1.0,hii implemented the empty operator with scheduler please take a look thanks
89.0,416,1.0,0.0,0.0,0.0,1.0,hii implemented the throw operator with scheduler i found that rxjava had an error method so i just implemented the scheduler overload
54.0,424,1.0,0.0,0.0,0.0,1.0,hii implemented the ignoreelements operator please take a look thanks
90.0,450,1.0,0.0,0.0,0.0,1.0,hi this pr implemented the timeinterval operator please take a look thanks
22.0,460,1.0,0.0,0.0,0.0,1.0,hi this pr implemented the amb operator i used varargs to support the array version and first second version in one method so in my pr there are only two variants
91.0,463,1.0,0.0,0.0,1.0,1.0,hi this pr implemented the rest overloads of timeout operator please take a look thanks
99.0,481,1.0,0.0,0.0,0.0,1.0,hi this pr implemented the using operator please take a look thanks
68.0,492,1.0,0.0,0.0,0.0,1.0,hi this pr implemented the scheduler overloads for range from startwith please take a look thanks
82.0,492,1.0,0.0,0.0,0.0,1.0,hi this pr implemented the scheduler overloads for range from startwith please take a look thanks
98.0,492,1.0,0.0,0.0,0.0,1.0,hi this pr implemented the scheduler overloads for range from startwith please take a look thanks
100.0,506,1.0,0.0,0.0,0.0,1.0,issue issue issue can be extended to plan plan and pattern pattern if action action is available not sure about the actionn version
23.0,506,1.0,0.0,0.0,0.0,1.0,issue issue issue can be extended to plan plan and pattern pattern if action action is available not sure about the actionn version
88.0,506,1.0,0.0,0.0,0.0,1.0,issue issue issue can be extended to plan plan and pattern pattern if action action is available not sure about the actionn version
96.0,513,1.0,0.0,0.0,0.0,1.0,issue and issue tomap overloadstomultimap overloadsadded groovy test to verify overloading
97.0,513,1.0,0.0,0.0,0.0,1.0,issue and issue tomap overloadstomultimap overloadsadded groovy test to verify overloading
532.0,560,1.0,0.0,0.0,0.0,1.0,this fixes the use of contravariant actions issue
52.0,563,1.0,0.0,0.0,0.0,1.0,issue rebased
53.0,565,1.0,0.0,0.0,0.0,1.0,issue rebasedstill headinthebox while writing the test for the operator ive noticed that when both duration selectors are never rxnet never calls oncompleted on the group subjects even though the left and right sources oncomplete i havent seen rxnet test for this scenario this comes into play when i want to emulate join with groupjoin the outer merge never oncompletes if i understand the behavior corretly when both left and right sources get depleted there is no way a new group or new group value would arrive and all the open groups and the main observer can be oncompleted this is somewhat similar to join and groupbyuntil behavior
74.0,571,1.0,0.0,0.0,0.0,1.0,issue sample will terminate if either the source or the sampler terminates or throws an error the sampler now emits values only in its onnext method therefore if the sampler completes and there is a sampled value available valuetaken false it wont emit the value before terminating
60.0,587,1.0,0.0,0.0,0.0,1.0,issue straightforward version of the regular count however i would have implemented it differently so the constant boxing unboxing could be avoided
666.0,667,1.0,0.0,0.0,0.0,1.0,rebased version without the drain scheduler variant fixes issue mentioned in as well
653.0,733,1.0,0.0,0.0,0.0,1.0,mentined in issue overload where the user can specify the capacity of the internal buffer
653.0,734,1.0,0.0,0.0,0.0,1.0,listed in note onerror and oncompleted events of the source are immediately propagated and will prevent emitting any pending values
653.0,735,1.0,0.0,0.0,0.0,1.0,listed in issue
653.0,736,1.0,0.0,0.0,0.0,1.0,listed in
653.0,738,1.0,0.0,0.0,0.0,1.0,listed in these operators use the existing multicast and subject infrastructure so i omitted any direct tests
653.0,740,1.0,0.0,0.0,0.0,1.0,listed in
653.0,741,1.0,0.0,0.0,0.0,1.0,listed in
799.0,825,1.0,0.0,0.0,0.0,1.0,nstructing a compositeexception
939.0,955,1.0,0.0,1.0,1.0,1.0,fix for issue
1152.0,1160,1.0,0.0,0.0,0.0,1.0,this pr has some breaking changes change def multicast r t subject rxlangscalasubject r subscription observable r to def multicast r t subject rxlangscalasubject r connectableobservable r change def replay subscription observable t to def replay connectableobservable t remove observableapply int so its better to merge it at the next major release cc headinthebox samuelgruetter
1153.0,1160,1.0,0.0,0.0,0.0,1.0,this pr has some breaking changes change def multicast r t subject rxlangscalasubject r subscription observable r to def multicast r t subject rxlangscalasubject r connectableobservable r change def replay subscription observable t to def replay connectableobservable t remove observableapply int so its better to merge it at the next major release cc headinthebox samuelgruetter
1181.0,1185,1.0,0.0,1.0,0.0,1.0,based on discussions in ive unified the behavior among the subjectsbehaviorsubject doesnt seem to exhibit issue and a second pair of eyes would be great to confirm the correctness and check if the removal of the countdownlatch was the correct approach
658.0,1185,1.0,0.0,1.0,0.0,1.0,based on discussions in ive unified the behavior among the subjectsbehaviorsubject doesnt seem to exhibit issue and a second pair of eyes would be great to confirm the correctness and check if the removal of the countdownlatch was the correct approach
126.0,1269,1.0,0.0,0.0,0.0,1.0,fix the bug mentioned in
1206.0,1272,1.0,0.0,1.0,1.0,1.0,for issue and this implementation should conform with the scheduler contract except it is not possible to avoid thread hopping dont worry the tasks execute serially but maybe not on the same physical thread few open improvement possibilities usage of mpsclinkedqueue once available a better performing subscription container for this kind of queue drain task tracking instead of compositesubscription ability to remove a subscription from a compositesubscription without it calling unsubscribe on the removed subscription ã¡ la multipleassignmentsubscriptionset
1514.0,1559,1.0,0.0,1.0,0.0,1.0,deprecated rxjavadefaultschedulers and rxjavadefaultschedulersdefault i think these names are confusing added rxjavaschedulershook ability to override entire schedulers from scratch ability to decorate action before submission to schedulerthe main change from is the decoration of action instead of runnable action is an improvement as all schedulers must handle these whereas not all schedulers handle runnables
158.0,1602,1.0,0.0,0.0,0.0,1.0,came up in
1741.0,1742,1.0,0.0,0.0,1.0,1.0,remove emptyobserver as it was confusing compared to observersempty make testobserver not throw onerrornotimplemented if a delegate is not provided fixes
1502.0,1777,1.0,0.0,1.0,1.0,1.0,for one of the sub issues in exclude rxinternalexclude rxjavaerrorhandlerdefault by deleting it
1772.0,1802,1.0,0.0,1.0,1.0,1.0,as per now keeps track of the actual subjectbufferuntilsubscriber synchronizes on the state guard
1972.0,1973,1.0,0.0,0.0,1.0,1.0,should resolve the test failure of when the main part of the test succeded an oncompleted was sent out from the main thread which was not serialized in respect to the onnext issued from the worker thread therefore two replay was attempted sometimes at first the caughtup was seen false the replay was entered but the next instruction cleared the index causing the illegalstateexception
